[Rel: 35886]: super-relations are not supported yet. ref: 903630
[no data] missing stop node. rel: https://osm.org/relation/3385101 node: https://osm.org/node/817062227.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/360980826.
[no data] missing stop node. rel: https://osm.org/relation/7188638 node: https://osm.org/node/2178507105.
[no data] missing stop node. rel: https://osm.org/relation/3199938 node: https://osm.org/node/2453717354.
[no data] missing stop node. rel: https://osm.org/relation/69916 node: https://osm.org/node/459923853.
[no data] missing stop node. rel: https://osm.org/relation/6062541 node: https://osm.org/node/1842979230.
[no data] missing stop node. rel: https://osm.org/relation/3385101 node: https://osm.org/node/300515744.
[no data] missing stop node. rel: https://osm.org/relation/6073150 node: https://osm.org/node/4073800097.
[no data] missing stop node. rel: https://osm.org/relation/6073153 node: https://osm.org/node/4073800098.
[no data] missing stop node. rel: https://osm.org/relation/6079196 node: https://osm.org/node/30253478.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/339018146.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/560611753.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/339018155.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/339018159.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/339018162.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38347192.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/339018169.
[no data] missing stop node. rel: https://osm.org/relation/7159169 node: https://osm.org/node/339018171.
[no data] missing stop node. rel: https://osm.org/relation/6092725 node: https://osm.org/node/2458550716.
[no data] missing stop node. rel: https://osm.org/relation/6075595 node: https://osm.org/node/674947517.
[no data] missing stop node. rel: https://osm.org/relation/7188638 node: https://osm.org/node/4794655170.
[no data] missing stop node. rel: https://osm.org/relation/7188637 node: https://osm.org/node/4794655171.
[no data] missing stop node. rel: https://osm.org/relation/7159170 node: https://osm.org/node/4794655169.
[no data] missing stop node. rel: https://osm.org/relation/7159171 node: https://osm.org/node/4794655173.
[no data] missing stop node. rel: https://osm.org/relation/7159173 node: https://osm.org/node/4794655174.
[no data] missing stop node. rel: https://osm.org/relation/6080786 node: https://osm.org/node/317948359.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/411582921.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/4794655172.
[no data] missing stop node. rel: https://osm.org/relation/35886 node: https://osm.org/node/302088678.
[no data] missing stop node. rel: https://osm.org/relation/8047747 node: https://osm.org/node/2925019627.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/392446457.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/302096893.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/361161227.
[no data] missing stop node. rel: https://osm.org/relation/6079853 node: https://osm.org/node/332112396.
[no data] missing stop node. rel: https://osm.org/relation/3250566 node: https://osm.org/node/301851159.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/2330305087.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/2330305088.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975140.
[no data] missing stop node. rel: https://osm.org/relation/3018847 node: https://osm.org/node/6046917225.
[no data] missing stop node. rel: https://osm.org/relation/6062554 node: https://osm.org/node/666780266.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975150.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975151.
[no data] missing stop node. rel: https://osm.org/relation/6062553 node: https://osm.org/node/4053533294.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975157.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975161.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975166.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975170.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975179.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558181.
[no data] missing stop node. rel: https://osm.org/relation/70035 node: https://osm.org/node/260924093.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595645.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595647.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595648.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595649.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595650.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595653.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558224.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558229.
[no data] missing stop node. rel: https://osm.org/relation/68558 node: https://osm.org/node/497492696.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/445809369.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/445809368.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/694600413.
[no data] missing stop node. rel: https://osm.org/relation/69937 node: https://osm.org/node/427090655.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558240.
[no data] missing stop node. rel: https://osm.org/relation/69937 node: https://osm.org/node/427090656.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38347490.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/925975263.
[no data] missing stop node. rel: https://osm.org/relation/69916 node: https://osm.org/node/459924197.
[no data] missing stop node. rel: https://osm.org/relation/5732268 node: https://osm.org/node/1591067367.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558250.
[no data] missing stop node. rel: https://osm.org/relation/5567835 node: https://osm.org/node/302875372.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369558264.
